zdanie_nieformalne,zdanie_formalne,model,generator
"Siema, co tam słychać?","Dzień dobry, jak się Pan/Pani miewa?",gemini-2.5,seba
Trzeba to ogarnąć na jutro.,Należy to przygotować/zrealizować do jutra.,gemini-2.5,seba
"Daj znać, jak coś będziesz wiedział.","Proszę o informację, gdy tylko uzyska Pan/Pani jakieś wieści.",gemini-2.5,seba
Ta fura jest mega wypasiona.,Ten samochód jest bardzo dobrze wyposażony.,gemini-2.5,seba
Nie kumam tej nowej apki.,Nie rozumiem działania tej nowej aplikacji.,gemini-2.5,seba
Wpadnij do mnie na chwilę.,Czy mógłby Pan/Pani podejść do mnie na moment?,gemini-2.5,seba
"Sorry, że tak późno odpisuję.",Przepraszam za późną odpowiedź.,gemini-2.5,seba
Ten filmik jest zarąbisty.,Ten materiał wideo jest doskonały.,gemini-2.5,seba
"Muszę lecieć, bo mam spotkanie.","Muszę już iść, ponieważ mam zaplanowane spotkanie.",gemini-2.5,seba
"Co myślisz, żebyśmy skoczyli na kawę?",Co Pan/Pani sądzi o krótkim spotkaniu przy kawie?,gemini-2.5,seba
Wyślij mi te papiery mailem.,Proszę o przesłanie tych dokumentów drogą elektroniczną.,gemini-2.5,seba
Ten komp mi muli strasznie.,Ten komputer działa bardzo wolno.,gemini-2.5,seba
Załatw mi wejściówkę na ten event.,Czy mógłby Pan/Pani zorganizować dla mnie zaproszenie na to wydarzenie?,gemini-2.5,seba
Zrobiłem babola w raporcie.,Popełniłem błąd w raporcie.,gemini-2.5,seba
Nie mam teraz czasu gadać.,Obecnie nie mogę rozmawiać.,gemini-2.5,seba
Ta muza jest spoko.,Ta muzyka jest przyjemna dla ucha.,gemini-2.5,seba
Ziomek mi polecił tę knajpę.,Znajomy polecił mi ten lokal gastronomiczny.,gemini-2.5,seba
Trzeba by to przegadać na spokojnie.,Należałoby omówić tę kwestię w sprzyjających warunkach.,gemini-2.5,seba
Kasa się zgadza?,Czy saldo jest prawidłowe?,gemini-2.5,seba
"Nie rób scen, wszystko da się załatwić.","Proszę o spokój, z pewnością znajdziemy rozwiązanie.",gemini-2.5,seba
"Masz chwilę, żeby na to zerknąć?","Czy dysponuje Pan/Pani chwilą, aby się z tym zapoznać?",gemini-2.5,seba
Jaki jest deadline na ten projekt?,Jaki jest ostateczny termin realizacji tego projektu?,gemini-2.5,seba
Totalnie zapomniałem o urodzinach szefa.,Całkowicie zapomniałem o urodzinach przełożonego.,gemini-2.5,seba
Ta promocja jest super.,Ta oferta promocyjna jest bardzo atrakcyjna.,gemini-2.5,seba
Walczę z tym zadaniem od rana.,Pracuję nad tym zadaniem od godzin porannych.,gemini-2.5,seba
Zróbmy burzę mózgów jutro z rana.,Zaproponujmy sesję burzy mózgów jutro rano.,gemini-2.5,seba
"Nie wiem, czy dam radę przyjść.","Nie jestem pewien/pewna, czy będę mógł/mogła przybyć.",gemini-2.5,seba
To info jest mega ważne.,Ta informacja jest niezwykle istotna.,gemini-2.5,seba
